week_detailed,0day,ASEAN Market,Abraxas Market,Agartha Market,Agora Market,AlphaBay Market,Altenen forum,Apollon Market,Approved Credit Card Shop,Avaris Market,Bankomat.cc,Basetools - Trustcvv,Benumb Shop,Berlusconi Market,Bestvalid,Bigmoney,BitBazaar,Bitshaking Forum,Brian Dumps,BuyBest,Buybest - GoldenShop,Bypass Shop,CC Stock,Cindicator shop,Cocaine Market,Dark0de Reborn market,DarkMarket,Darkbay Market,Darknet Heroes League Market,DeDope Market,DeepSea Market,Docstagram Shop,Dream Market,Ecards,Elysium Shop,Empire Market,Enclave Forum,Entershop,Epic Market,Europa Market,Eviano Luxury Weed Market,Evolution Market,Exploit.in,FEshop,Flugsvamp Market 2.0,Flugsvamp Market 3.0,FuLLzShOp,Greatdumps,Green Road Market,Gvoice store,Icarus Market,Iceteam Market,Infinity,Isellz.cc,Isomerism Market,JShop,Joker's Stash Market,Korovka forum,LuxSocks.ru,Matanga market,Midland City Market,MrGreen.ws,MyFakeID.biz,N1Shop.cc,Neptune Market,Nightmare Market,Nucleus Market,Olympus Market,Omerta Forum,Oroboros Market,Pluscc,Point Market (former Tochka),Rescator.at,Russian Anonymous Marketplace,Samsara Market,San-Wells Market,Silk Road 3.1,Silk Road Marketplace,SlilPP Market,Swiped,The Canadian Headquarters Market,ToRReZ Market,Topcc,Tor Market,Trump Dumps,Try2check,UAS-Shop.ru,UnderMarket,Unicc,ValidPins Market,Vault Market,Vclub,Vendetta.cc,Verified Forum,Wall Street Market,Weedzy.co.uk,Yakuza Market,Yalelodge,Yellow Brick Market,cardingforums.ws,dark.fail Donation Address,xDedic
2020-03-09/2020-03-15,9879.92693,0,0,0,0,0,706.0783,136.89844,0,0.30031,20943.88639,55715.08303,45671.54078,0,17477.24543,0,179297.1022,0,51165.3204,17798.57906,249625.6024,480596.0574,7437.27509,0,2771.13865,0,0,2378.89651,0,0,0,0,0,5.1098,0,1489609.622,0,10091.06213,10869.00144,188.73343,0,0,4327.523,1060377.339,0,421063.0375,21366.46056,0,0,0,0,54013.51982,4555.77633,143.74749,0,2498.13812,81108.4409,0,47370.66623,98456.60779,2697.66759,11574.64828,81.72596,0,0,0,0,0,1055.78542,0,0,0,0,0,0,81.31105,0,63.0752,60186.50022,0,4969.16249,0,0,2374.14747,6133.4845,77623.36513,13411.78531,0,600887.5673,0,0,17965.60616,378.34663,5739.69603,0,364.04652,0,0,73886.58438,0,6.75958,0
2020-03-16/2020-03-22,101.4676,0,0,0,0,187.9995,153.1779,310.6171,0,0.10059,17605.45549,60282.14438,44802.31211,0,15627.48527,0,200127.0564,0,189130.5246,8822.43521,113747.0127,475798.3329,5506.7741,0,3675.2922,0,0,2621.93515,0,0,0,0,0,0,0,1402095.805,0,5466.5667,8413.37473,122.20592,0,0,5437.77653,899566.7069,0,452032.0907,13955.97148,0,0,0,0,46353.16486,7119.01099,156.60567,0,2542.62884,202476.2396,0,55940.45078,84073.18686,2556.49725,4187.43341,39.00179,0,0,0,0,0,1822.61925,0,0,0,0,0,0,0,214.43579,0,71727.37974,0,2238.65044,0,9.72035,1773.13669,7413.22448,74389.37069,12228.29328,0,551908.336,0,0,12323.31797,182.24794,21798.41175,0,1075.87189,0,602.76887,104545.4973,0,94.9313,0
2020-03-23/2020-03-29,6503.4536,0,23.89542,0,0,0,12.68824,103.013,0,0.09831,17655.19998,63070.76015,40943.24183,0,17317.97131,0,194411.6599,0,54418.61385,69.26647,694.04021,534675.1748,6015.91455,0,5605.19996,0,0,2803.91681,0,0,0,0,0,0,0,657801.8695,0,5344.05367,4330.94589,2813.17172,0,0,5903.14722,918049.08,0,605025.5183,11922.18258,0,0,0,0,50601.86822,10476.06698,117.52714,0,2115.52139,772181.4616,0,49801.43473,74578.84909,2344.68741,3825.02728,49.65042,0,0,0,0.03982,0,1284.21377,0,0,0,0,0,0,14.99248,77.20384,83.42432,69770.29764,0,8848.90893,0,0,1870.11061,7623.05571,81258.6543,12996.92654,0,556136.0173,0,464.39531,7319.41683,801.15738,13396.48686,0,1281.58788,0.09867,27395.22112,98869.53598,0,22777.05518,0
2020-03-30/2020-04-05,5945.8974,47.96466,0,0,0,0,0,370.58793,0,0.09933,18671.7373,82536.58109,39145.14406,0,16979.64726,0,245078.1006,0,225731.5567,33.31152,133.47339,564243.9378,10649.6433,0,6760.37966,0,205.34834,2699.95284,0,0,0,0,0,0,0,1302315.08,0,8983.52579,8597.19312,1810.67834,0,0,2442.2444,1024041.069,0,524779.0058,19427.77308,0,0,0,0,36478.01498,7972.77911,131.66166,0,3167.12132,910632.379,0,56782.53146,71381.81856,3016.59134,6024.97991,35.70578,0,0,0,0,0,2636.4614,0,0,0,0,0,0,19.95753,0,0,70301.03012,0,5699.78575,0,0,3022.96608,6879.8971,88959.22409,19356.21321,0,614549.4825,0,13721.67671,1279.21545,6.06133,5826.60524,0,1809.43494,8.94513,37424.82234,67337.36012,0,4.14053,0
2020-04-06/2020-04-12,6973.30716,0.40238,0,0,0,0,304.04551,0,0,0,20145.64294,78485.787,43889.74148,0,15730.63972,0,250044.8469,0,111388.8854,1.39647,397.73793,582127.6243,9176.3753,0,3648.88534,0,723.42796,2244.48725,0,504.84494,0,0,0,0,0,997574.2962,0,10062.98777,6344.46751,4199.27915,0,0,1205.52307,1094948.661,0,440106.2322,14054.36409,0,0,0,0,45034.05836,6534.67301,237.97813,0,4133.02334,909234.1294,0,65557.1073,63262.13636,2255.14803,7519.12705,92.04524,0,0,0,0,0,3639.41169,0,0,0,0,0,0,0,0,0,51815.80133,0,4713.41056,0,88.26599,10555.517,8697.04071,58255.97795,15948.74702,0,778636.252,0,45153.71273,20272.86875,1215.36027,13603.33831,0,1422.84716,0.19647,42124.19369,86946.70949,0,72.05648,0
2020-04-13/2020-04-19,2098.29987,85.506,0,0,0,0,1097.32872,0,0,0,26226.08817,79477.85819,61744.14647,0,16709.31366,0,251748.2691,0,85063.37653,1.39111,268.8345,651748.6821,11837.52795,0,7468.51456,0,562.87142,2006.78028,0,0,0,0,0,0,0,1996360.589,0,4838.67581,11916.16018,1703.81986,0,0,0,1366677.431,0,519018.4467,19154.86685,0,0,0,0,44650.84107,8366.73371,128.6484,0,4947.27534,965224.2258,0,66662.73572,47262.27275,2815.94463,8815.41092,184.94053,0,0,0,0,0,1244.60458,0,0,158.21168,0,0,0,0,0,140.7744,49661.34372,0,2171.07423,0,0,9429.53405,12774.68197,73191.88899,21482.94493,0,853440.9111,0,65218.48776,29017.30214,427.36477,28012.4261,0,1594.46952,21.60797,51453.18879,87083.0999,0,0,0
2020-04-20/2020-04-26,6146.84863,208.29174,0,0,0,135.15844,416.49999,0,0,0,25031.91319,96013.38632,58401.83002,0,16201.11128,0,239500.668,0,349190.522,1.41331,66.8604,614260.0741,12238.58543,0,4075.71938,0,4973.37539,1922.89504,0,0,0,0,0,0,0,1805647.065,0,0,14699.02419,3984.69478,0,0,0,1343939.017,0,664335.7595,12212.48532,0,0,0,106.90346,45127.3227,8135.12719,226.2188,0,4143.47439,968392.6382,0,71367.45657,32328.87224,2143.40159,4295.79731,101.16307,0,0,0,0,0,210.59364,0,0,0,0,0,0,0,0,0,58662.8246,0,102.48602,0,0,6075.03774,8787.71469,71974.91824,16528.43495,0,997182.8696,0,84538.13975,39937.09317,494.54976,33637.45773,0,2543.00882,0.49297,76111.75859,109570.4787,0,149.38832,0
2020-04-27/2020-05-03,5205.89185,318.55385,0,0,0,26.06715,0,0,0,0,24512.84296,99390.49118,52724.07405,0,15434.13937,0,241275.0276,0,215314.5166,1.39279,78.83156,637974.1756,10737.23654,0,3612.78072,0,1556.53676,1843.8902,0,0,0,0,0,0,0,954523.7671,0,0,18813.95534,8713.5619,0,0,0,1588374.553,0,636911.4625,6240.12983,0,0,0,1110.37521,46434.1389,10063.76924,171.22916,0,6105.64493,1003663.213,0,67084.61919,66378.42146,3065.56198,4886.14063,149.24233,0,0,0,0,0,1.23831,0,0,0,0,0,0,0,0,0,58329.77576,6815.53998,5491.6077,0,0,16213.42974,22791.75707,85297.76201,25597.66349,0,978624.5194,0,76754.63342,44246.79228,1252.77073,10332.15742,0,4885.65647,3.56143,88216.97387,112243.7791,0,250.2863,0
2020-05-04/2020-05-10,2007.47796,593.06073,0,0,0,0,99.91272,0,0,0,34723.8638,97390.57914,56508.85985,0,13709.61097,0,274597.3069,4903.50799,185959.5118,1.38091,81.3867,776815.2301,12736.49182,5910.46222,6490.19039,0,1755.71402,3972.3237,0,272.03617,0,0,0,0,0,858343.5507,0,758.47298,21524.4964,5776.21332,0,0,0,1904169.389,0,541508.1566,10744.0451,0,0,0,4290.78171,62166.39924,10045.80114,137.38648,0,6540.11647,995862.172,101.01421,73148.72943,72183.18839,3301.68911,7547.21165,160.97535,0,0,0,0,0,1.16352,0,0,0,0,0,0,0,0,0,77142.22162,0,5283.31674,0,0,11648.04189,10444.24713,62968.49029,20472.35988,0,945829.3683,0,100500.2411,50397.87985,2108.81346,4958.33469,0,11680.73487,2.2186,65036.21514,106141.9082,0,19.62386,0
2020-05-11/2020-05-17,2908.63353,1413.74154,0,0,0,0,392.88317,0,0,0,45098.67774,93025.6074,46641.7798,0,19927.60187,0,260667.3421,6192.5323,171438.8628,1.41424,2.83871,593152.6539,17205.48879,25585.76157,3788.86433,0,82437.95599,2929.81815,0,0,0,0,0,0,0,1137958.37,0,0,17526.0393,3948.39441,0,0,0,1710199.433,0,503889.6324,7232.59437,0,0,0,9362.75878,65907.336,8868.96983,89.0869,0,8749.72681,1096140.211,0,75920.76194,84611.18461,3217.10465,6601.5201,34.01284,0,0,0,0,0,0.19908,0,0,0,0,0,0,0,0,1.97301,76484.39725,0,1633.59252,0,0,19668.0601,14478.49936,78243.10111,21408.10192,0,1119868.78,0,57095.24103,51969.32213,1318.02909,1818.15701,0,11746.7031,0.20134,77127.51017,18520.74645,0,964.64488,0
2020-05-18/2020-05-24,0,1008.00851,0,0,0,0,100.89508,0,0,0,41162.65681,93064.46569,53222.60488,0,12737.60665,0,281102.5417,2313.64419,129227.7557,1.39931,4.26452,628532.846,13863.34184,17442.66486,3047.50063,0,262368.0756,3843.17468,0,0,0,0,0,0,0,1483084.521,0,0,26049.11089,3754.35158,0,0,0,1400668.743,0,516958.2567,10529.45412,0,0,0,16504.8675,54533.54915,12998.14514,283.27801,0,5929.96433,993854.3873,0,82728.70298,75314.26824,2819.07522,4380.34625,38.92461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14063,68971.42058,0,6630.6318,0,0,32338.00403,11644.39425,51698.84454,16964.75012,0,1053613.159,0,85.10452,54691.20639,2108.49153,8993.16805,0,14326.66438,0.58823,53369.77682,204.50082,0,108.67449,0
2020-05-25/2020-05-31,2311.30332,1274.90486,0,0,0,0,0,0,0,0,34623.91443,101679.0792,51158.12522,0,10381.62174,0,266501.652,3624.57671,47655.70918,1.40109,2.39578,580863.7863,11490.38202,2348.63861,3812.20839,0,187585.4052,4290.95493,0,0,0,0,0,0,0,1900612.816,0,0,23265.56431,0.40031,0,0,0,1341565.426,0,835923.4574,10322.93053,0,0,0,29076.99259,60969.90132,10351.80637,174.18936,0,4079.78095,984306.0968,0,80332.44442,88471.53144,2977.47981,6073.08032,39.6143,0,0,0,0,18.1763,0,0,0,0,0,0,0,0,0,0,61804.34708,0,3312.66617,0,24.52356,4222.74232,10036.66357,49870.73595,12081.01007,0,926719.5931,0,0.39915,41195.03707,1017.57127,1550.81593,0,16825.17813,0.40833,75368.96403,0.41291,0,55.55788,0
